Incomplete,Date,Sessions,% of Sessions
,04/03/2015 0:00,10660, <0.1% 
,03/03/2015 0:00,10655, <0.1% 
,02/03/2015 0:00,11154, <0.1% 
,01/03/2015 0:00,14917,0.10%
,28/02/2015 0:00,17549,0.10%
,27/02/2015 0:00,14067,0.10%
,26/02/2015 0:00,13029,0.10%
,25/02/2015 0:00,11409, <0.1% 
,24/02/2015 0:00,11505, <0.1% 
,23/02/2015 0:00,11729, <0.1% 
,22/02/2015 0:00,16959,0.10%
,21/02/2015 0:00,17654,0.10%
,20/02/2015 0:00,15942,0.10%
,19/02/2015 0:00,13757,0.10%
,18/02/2015 0:00,13441,0.10%
,17/02/2015 0:00,13033,0.10%
,16/02/2015 0:00,15144,0.10%
,15/02/2015 0:00,17408,0.10%
,14/02/2015 0:00,18329,0.20%
,13/02/2015 0:00,14475,0.10%
,12/02/2015 0:00,12316,0.10%
,11/02/2015 0:00,11997,0.10%
,10/02/2015 0:00,11842,0.10%
,09/02/2015 0:00,11989,0.10%
,08/02/2015 0:00,16407,0.10%
,07/02/2015 0:00,19312,0.20%
,06/02/2015 0:00,15791,0.10%
,05/02/2015 0:00,12690,0.10%
,04/02/2015 0:00,12067,0.10%
,03/02/2015 0:00,12677,0.10%
,02/02/2015 0:00,14058,0.10%
,01/02/2015 0:00,19431,0.20%
,31/01/2015 0:00,21956,0.20%
,30/01/2015 0:00,18334,0.20%
,29/01/2015 0:00,16709,0.10%
,28/01/2015 0:00,17107,0.10%
,27/01/2015 0:00,17247,0.10%
,26/01/2015 0:00,17664,0.10%
,25/01/2015 0:00,25320,0.20%
,24/01/2015 0:00,26396,0.20%
,23/01/2015 0:00,19885,0.20%
,22/01/2015 0:00,16798,0.10%
,21/01/2015 0:00,17213,0.10%
,20/01/2015 0:00,15952,0.10%
,19/01/2015 0:00,21850,0.20%
,18/01/2015 0:00,26213,0.20%
,17/01/2015 0:00,25601,0.20%
,16/01/2015 0:00,20583,0.20%
,15/01/2015 0:00,16539,0.10%
,14/01/2015 0:00,17036,0.10%
,13/01/2015 0:00,15396,0.10%
,12/01/2015 0:00,15228,0.10%
,11/01/2015 0:00,22053,0.20%
,10/01/2015 0:00,22507,0.20%
,09/01/2015 0:00,16853,0.10%
,08/01/2015 0:00,14695,0.10%
,07/01/2015 0:00,14080,0.10%
,06/01/2015 0:00,13143,0.10%
,05/01/2015 0:00,13495,0.10%
,04/01/2015 0:00,17574,0.10%
,03/01/2015 0:00,19710,0.20%
,02/01/2015 0:00,19705,0.20%
,01/01/2015 0:00,20062,0.20%
,31/12/2014 0:00,20379,0.20%
,30/12/2014 0:00,18519,0.20%
,29/12/2014 0:00,17799,0.20%
,28/12/2014 0:00,18323,0.20%
,27/12/2014 0:00,18847,0.20%
,26/12/2014 0:00,19171,0.20%
,25/12/2014 0:00,19566,0.20%
,24/12/2014 0:00,19517,0.20%
,23/12/2014 0:00,17139,0.10%
,22/12/2014 0:00,16976,0.10%
,21/12/2014 0:00,17895,0.20%
,20/12/2014 0:00,13919,0.10%
,19/12/2014 0:00,10220, <0.1% 
,18/12/2014 0:00,9248, <0.1% 
,17/12/2014 0:00,8493, <0.1% 
,16/12/2014 0:00,8659, <0.1% 
,15/12/2014 0:00,9051, <0.1% 
,14/12/2014 0:00,13687,0.10%
,13/12/2014 0:00,14863,0.10%
,12/12/2014 0:00,12247,0.10%
,11/12/2014 0:00,11542, <0.1% 
,10/12/2014 0:00,11369, <0.1% 
,09/12/2014 0:00,12431,0.10%
,08/12/2014 0:00,16200,0.10%
,07/12/2014 0:00,26732,0.20%
,06/12/2014 0:00,31718,0.30%
,05/12/2014 0:00,22500,0.20%
,04/12/2014 0:00,18429,0.20%
